Date,Open,High,Low,Close,Adj Close,Volume
"$43,798.00",null,null,null,null,null,null
"$43,800.00","$3,146.25","$3,148.00","$3,144.25","$3,146.00","$3,146.00","$321,852.00"
"$43,801.00","$3,146.25","$3,158.00","$3,110.25","$3,114.25","$3,114.25","$1,927,030.00"
"$43,802.00","$3,114.25","$3,121.75","$3,069.50","$3,091.00","$3,091.00","$2,146,620.00"
"$43,803.00","$3,091.75","$3,119.50","$3,081.75","$3,111.00","$3,111.00","$1,485,940.00"
"$43,804.00","$3,111.00","$3,124.75","$3,103.25","$3,117.75","$3,117.75","$1,318,780.00"
"$43,805.00","$3,117.75","$3,151.00","$3,117.00","$3,146.00","$3,146.00","$1,300,299.00"
"$43,807.00","$3,146.50","$3,148.50","$3,146.00","$3,146.75","$3,146.75","$208,071.00"
"$43,808.00","$3,146.50","$3,149.50","$3,131.25","$3,134.50","$3,134.50","$1,145,426.00"
"$43,809.00","$3,133.50","$3,143.00","$3,116.25","$3,136.00","$3,136.00","$1,425,723.00"
"$43,810.00","$3,135.50","$3,144.50","$3,129.50","$3,143.00","$3,143.00","$1,225,764.00"
"$43,811.00","$3,144.00","$3,177.50","$3,137.25","$3,168.00","$3,168.00","$2,379,008.00"
"$43,812.00","$3,175.75","$3,185.00","$3,156.75","$3,172.00","$3,172.00","$1,834,941.00"
"$43,814.00","$3,176.50","$3,177.25","$3,173.75","$3,176.25","$3,176.25","$278,836.00"
"$43,815.00","$3,176.50","$3,198.75","$3,173.75","$3,194.25","$3,194.25","$1,413,219.00"
"$43,816.00","$3,192.50","$3,199.25","$3,187.75","$3,192.00","$3,192.00","$1,032,120.00"
"$43,817.00","$3,189.50","$3,199.00","$3,188.50","$3,194.75","$3,194.75","$582,632.00"
"$43,818.00","$3,195.00","$3,209.00","$3,190.25","$3,207.00","$3,207.00","$433,420.00"
"$43,819.00","$3,208.50","$3,231.02","$3,204.25","$3,231.02","$3,231.02","$1,320,006.00"
"$43,821.00","$3,227.00","$3,229.00","$3,224.75","$3,228.25","$3,228.25","$215,181.00"
"$43,822.00","$3,227.00","$3,234.25","$3,224.25","$3,227.25","$3,227.25","$665,895.00"
"$43,823.00",null,null,null,null,null,null
"$43,825.00","$3,227.50","$3,244.75","$3,227.00","$3,244.50","$3,244.50","$464,639.00"
"$43,826.00","$3,242.00","$3,254.00","$3,235.50","$3,237.50","$3,237.50","$984,389.00"
"$43,828.00","$3,238.25","$3,241.25","$3,238.00","$3,240.75","$3,240.75","$205,702.00"
"$43,829.00","$3,238.25","$3,244.25","$3,217.25","$3,223.50","$3,223.50","$1,124,598.00"
"$43,830.00","$3,223.25","$3,236.25","$3,213.00","$3,231.00","$3,231.00","$1,157,924.00"
"$43,832.00","$3,237.00","$3,261.75","$3,234.25","$3,259.00","$3,259.00","$1,416,241.00"
"$43,833.00","$3,261.00","$3,263.50","$3,206.75","$3,235.50","$3,235.50","$1,755,057.00"
"$43,835.00","$3,220.25","$3,223.75","$3,216.25","$3,222.50","$3,222.50","$1,101,400.00"
"$43,836.00","$3,220.25","$3,249.50","$3,208.75","$3,243.50","$3,243.50","$1,502,748.00"
"$43,837.00","$3,243.50","$3,254.50","$3,226.00","$3,235.25","$3,235.25","$1,293,494.00"
"$43,838.00","$3,231.75","$3,267.75","$3,181.00","$3,260.25","$3,260.25","$2,279,138.00"
"$43,839.00","$3,261.25","$3,276.75","$3,257.75","$3,276.00","$3,276.00","$1,297,679.00"
"$43,840.00","$3,275.50","$3,287.00","$3,260.75","$3,264.75","$3,264.75","$1,533,121.00"
"$43,842.00","$3,265.75","$3,271.50","$3,265.50","$3,269.50","$3,269.50","$332,775.00"
"$43,843.00","$3,265.75","$3,291.00","$3,265.50","$3,289.75","$3,289.75","$1,008,998.00"
"$43,844.00","$3,289.25","$3,296.75","$3,275.25","$3,288.00","$3,288.00","$1,694,799.00"
"$43,845.00","$3,287.75","$3,299.00","$3,277.75","$3,293.75","$3,293.75","$1,468,347.00"
"$43,846.00","$3,294.25","$3,318.00","$3,294.00","$3,316.50","$3,316.50","$1,335,246.00"
"$43,847.00","$3,316.75","$3,330.25","$3,316.00","$3,325.00","$3,325.00","$1,312,253.00"
"$43,849.00","$3,325.00","$3,326.50","$3,323.25","$3,326.50","$3,326.50","$291,095.00"
"$43,851.00","$3,325.00","$3,329.75","$3,307.25","$3,319.50","$3,319.50","$1,573,187.00"
"$43,852.00","$3,321.25","$3,337.50","$3,315.25","$3,319.75","$3,319.75","$1,505,107.00"
"$43,853.00","$3,317.25","$3,327.00","$3,301.25","$3,326.00","$3,326.00","$1,717,046.00"
"$43,854.00","$3,326.50","$3,337.00","$3,280.50","$3,293.50","$3,293.50","$2,515,168.00"
