TimeStamp,   Open Interest   
03/05/2019," 36,532,040.00 "
04/05/2019," 37,548,860.00 "
05/05/2019," 38,263,380.00 "
06/05/2019," 39,515,400.00 "
07/05/2019," 38,920,152.00 "
08/05/2019," 37,920,392.00 "
09/05/2019," 38,648,232.00 "
10/05/2019," 38,344,792.00 "
11/05/2019," 38,056,500.00 "
12/05/2019," 36,981,800.00 "
13/05/2019," 37,012,368.00 "
14/05/2019," 39,798,400.00 "
15/05/2019," 41,590,568.00 "
16/05/2019," 46,812,380.00 "
17/05/2019," 43,852,672.00 "
18/05/2019," 43,380,760.00 "
19/05/2019," 42,066,860.00 "
20/05/2019," 42,056,368.00 "
21/05/2019," 42,571,760.00 "
22/05/2019," 45,209,528.00 "
23/05/2019," 45,810,608.00 "
24/05/2019," 45,905,608.00 "
25/05/2019," 48,028,792.00 "
26/05/2019," 51,179,112.00 "
27/05/2019," 53,621,888.00 "
28/05/2019," 53,746,160.00 "
29/05/2019," 51,496,848.00 "
30/05/2019," 49,113,080.00 "
31/05/2019," 50,060,780.00 "
01/06/2019," 51,763,248.00 "
02/06/2019," 50,700,260.00 "
03/06/2019," 50,476,728.00 "
04/06/2019," 49,551,368.00 "
05/06/2019," 48,585,420.00 "
06/06/2019," 48,334,020.00 "
07/06/2019," 48,260,880.00 "
08/06/2019," 48,571,232.00 "
09/06/2019," 46,960,160.00 "
10/06/2019," 46,623,432.00 "
12/06/2019," 44,670,248.00 "
13/06/2019," 43,638,660.00 "
14/06/2019," 43,791,672.00 "
15/06/2019," 44,686,992.00 "
16/06/2019," 47,950,400.00 "
17/06/2019," 47,856,832.00 "
18/06/2019," 48,892,600.00 "
19/06/2019," 51,840,208.00 "
20/06/2019," 56,247,408.00 "
21/06/2019," 64,967,360.00 "
22/06/2019," 67,409,792.00 "
23/06/2019," 70,177,192.00 "
24/06/2019," 71,129,392.00 "
25/06/2019," 70,513,920.00 "
26/06/2019," 68,771,392.00 "
27/06/2019," 64,157,000.00 "
28/06/2019," 60,198,420.00 "
29/06/2019," 57,464,780.00 "
30/06/2019," 59,614,672.00 "
01/07/2019," 62,217,632.00 "
02/07/2019," 63,555,240.00 "
03/07/2019," 60,212,280.00 "
04/07/2019," 60,174,380.00 "
05/07/2019," 59,375,752.00 "
06/07/2019," 59,916,248.00 "
07/07/2019," 61,728,872.00 "
08/07/2019," 64,420,060.00 "
09/07/2019," 70,450,040.00 "
10/07/2019," 77,169,024.00 "
11/07/2019," 76,561,200.00 "
12/07/2019," 76,448,568.00 "
13/07/2019," 76,795,696.00 "
14/07/2019," 73,346,328.00 "
15/07/2019," 65,499,272.00 "
16/07/2019," 65,380,100.00 "
17/07/2019," 59,589,660.00 "
18/07/2019," 55,343,792.00 "
19/07/2019," 58,872,192.00 "
20/07/2019," 59,015,128.00 "
21/07/2019," 60,722,432.00 "
22/07/2019," 58,606,072.00 "
23/07/2019," 58,134,380.00 "
24/07/2019," 58,056,160.00 "
25/07/2019," 57,194,960.00 "
26/07/2019," 56,999,380.00 "
27/07/2019," 56,394,088.00 "
28/07/2019," 61,679,312.00 "
29/07/2019," 61,846,352.00 "
30/07/2019," 61,230,960.00 "
31/07/2019," 60,725,300.00 "
01/08/2019," 61,959,980.00 "
02/08/2019," 65,456,432.00 "
03/08/2019," 67,587,968.00 "
04/08/2019," 68,687,432.00 "
05/08/2019," 70,194,896.00 "
06/08/2019," 71,298,032.00 "
07/08/2019," 73,221,504.00 "
08/08/2019," 74,800,280.00 "
09/08/2019," 78,643,248.00 "
10/08/2019," 78,709,392.00 "
11/08/2019," 80,953,824.00 "
12/08/2019," 81,744,048.00 "
13/08/2019," 82,441,152.00 "
14/08/2019," 80,205,640.00 "
15/08/2019," 78,952,888.00 "
16/08/2019," 78,349,328.00 "
17/08/2019," 80,219,768.00 "
18/08/2019," 84,560,032.00 "
19/08/2019," 85,131,800.00 "
20/08/2019," 85,245,744.00 "
21/08/2019," 85,188,208.00 "
22/08/2019," 83,254,000.00 "
23/08/2019," 81,314,288.00 "
